ts,mode,soc,grid_p,haus_p,solar_p,gs,op,pv,is_target,hms_limit,hms_2000,hms_1600,hms_2000_lim,hms_1600_lim
2026-06-04 20:46:46,active,76.0,-7.1,550.8,23.7,540,538.0,16.0,2400,3600.0,10.3,13.4,2000.0,1600.0
2026-06-04 20:46:51,active,76.0,-7.1,561.1,23.5,530,538.0,10.0,2400,3600.0,10.1,13.4,2000.0,1600.0
2026-06-04 20:46:56,active,76.0,8.2,550.0,23.3,540,528.0,14.0,2400,3600.0,10.1,13.2,2000.0,1600.0
2026-06-04 20:47:01,active,76.0,8.2,561.8,23.2,540,538.0,16.0,2400,3600.0,10.0,13.2,2000.0,1600.0
2026-06-04 20:47:06,active,76.0,8.2,556.6,22.9,550,538.0,9.0,2400,3600.0,10.0,12.9,2000.0,1600.0
2026-06-04 20:47:11,active,76.0,-5.3,542.6,22.7,540,548.0,12.0,2400,3600.0,9.8,12.9,2000.0,1600.0
2026-06-04 20:47:16,active,76.0,-5.3,540.8,22.5,540,538.0,14.0,2400,3600.0,9.8,12.7,2000.0,1600.0
2026-06-04 20:47:21,active,76.0,-5.3,548.0,22.3,540,538.0,13.0,2400,3600.0,9.6,12.7,2000.0,1600.0
2026-06-04 20:47:26,active,76.0,-1.1,564.6,22.0,540,538.0,13.0,2400,3600.0,9.6,12.4,2000.0,1600.0
2026-06-04 20:47:31,active,76.0,-1.1,544.6,21.9,540,538.0,13.0,2400,3600.0,9.5,12.4,2000.0,1600.0
2026-06-04 20:47:36,active,76.0,-1.1,548.6,21.7,540,538.0,14.0,2400,3600.0,9.5,12.2,2000.0,1600.0
2026-06-04 20:47:41,active,76.0,-8.7,545.4,21.6,530,538.0,13.0,2400,3600.0,9.4,12.2,2000.0,1600.0
2026-06-04 20:47:46,active,76.0,-7.5,544.0,21.3,530,529.0,14.0,2400,3600.0,9.4,11.9,2000.0,1600.0
2026-06-04 20:47:51,active,76.0,-7.5,539.6,21.1,530,528.0,15.0,2400,3600.0,9.2,11.9,2000.0,1600.0
2026-06-04 20:47:56,active,76.0,-7.5,538.3,20.8,520,528.0,12.0,2400,3600.0,9.2,11.6,2000.0,1600.0
2026-06-04 20:48:01,active,76.0,-7.5,519.6,20.7,520,518.0,12.0,2400,3600.0,9.1,11.6,2000.0,1600.0
2026-06-04 20:48:06,active,76.0,18.6,549.1,20.4,530,518.0,12.0,2400,3600.0,9.1,11.3,2000.0,1600.0
2026-06-04 20:48:11,active,76.0,18.6,547.0,20.2,540,528.0,11.0,2400,3600.0,8.9,11.3,2000.0,1600.0
